Date,Year,Type,Country,Area,Location,Activity,Sex ,Injury,Fatal (Y/N),Species ,Age_clean
2023-05-03,2023.0,Unprovoked,SOUTH AFRICA,Easten Cape Province,"Supertubes, Jeffreys Bay",Surfing,M,Leg injured,N,UNKNOW,50.0
2023-03-16,2023.0,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,Surf-sking,F,Unknow,N,5M TO 6M SHARK,28.0
2022-10-27,2022.0,Provoked,USA,Mississippi,Horn Island,Fishing,M,Minor injuries,N,5'SHARK,28.0
2022-07-27,2022.0,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,Injury to upper lip,N,NURSE SHARK,13.0
2022-07-25,2022.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,M,Minor bite to left  foot,N,BLACKTIP SHARK?,33.0
2022-05-20,2022.0,Unprovoked,AUSTRALIA,Western Australia,"Royal Perth Yacht Club, Swan River",Diving,M,No Injury,N,BULL SHARK,20.0
2022-04-07,2022.0,Unprovoked,USA,Florida,Canaveral National Seashore,Kayaking,M,No injury to occupants. Kayak bitten,N,UNKNOW,28.0
2021-10-15,2021.0,Unprovoked,AUSTRALIA,Queensland,"Hook Island, Whitsundays",Swimming,M,Lacerations and puncture to left leg,N,UNKNOW,34.0
2021-08-03,2021.0,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Surfing,M,Lacerations to lower body,N,BLACKTIP SHARK,28.0
2021-07-05,2021.0,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Surfing,M,Left forearm broken & lacerated,N,"WHITE SHARK, 3M",25.0
2021-01-22,2021.0,Watercraft,USA,Florida,Off Tampa Bay,Fishing,M,No injury to occupants,N,WHITE SHARK,28.0
2020-10-04,2020.0,Unprovoked,AUSTRALIA,Western Australia,"Toms Surf break, Hamersley Pool, North Beach, Perth",Surfing,M,"No injury, knocked off board when shark grabbed his leg rope",N,BRONZE WHALER 1.5M,17.0
2019-11-30,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,"No injury, knocked from his board by the shark",N,JUVENILE BLACKTIP SHARK,9.0
2019-08-16,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,Puncture marks to lower leg,N,UNKNOW,9.0
2019-06-10,2019.0,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Surfing,M,Cuts to right foot,N,UNKNOW,19.0
2019-01-14,2019.0,Unprovoked,AUSTRALIA,Western Australia,North Cottesloe,Swimming,F,Minor injury to left foot,N,WOBBEGONG SHARK,15.0
2018-11-05,2018.0,Unprovoked,AUSTRALIA,Queensland,"Cid Harbor, Whitsundays",Swimming,M,FATAL,Y,UNKNOW,33.0
2018-09-23,2018.0,Unprovoked,BAHAMAS,Abaco Islands,Treasure Cay,Spearfishing,F,Lacerations to fingers,N,BLACKTIP SHARK,32.0
2018-05-26,2018.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,Minor injury to foot,N,UNKNOW,12.0
2018-04-28,2018.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,M,"No injury, shark bit scuba gear",N,TIGER SHARK,30.0
2018-03-31,2018.0,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,"Lacerations to right hand and arm, loss of right leg below the knee",N,"TIGER SHARK, 12'",25.0
2017-12-31,2017.0,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,Severe lacerations to left thigh & knee,N,TIGER SHARK,54.0
2017-09-25,2017.0,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,"No injury, board damaged by shark",N,"WHITE SHARK, 3.5 M",28.0
2017-09-13,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Lacerations to left foot,N,5' TO 6' SHARK,18.0
2017-07-14,2017.0,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,Pulled off board by shark but no injury,N,"WHITE SHARK, 9'",28.0
2017-06-17,2017.0,Unprovoked,SPAIN,Ibiza Island,Playa d’en Bossa,Swimming,M,2-inch laceration to hand,N,UNKNOW,82.0
2017-04-29,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,Minor injury to right calf,N,UNKNOW,14.0
2017-02-06,2017.0,Watercraft,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,Fishing,M,"Shark damaged kayak, no injury to occupant",N,TIGER SHARK,28.0
2017-01-13,2017.0,Unprovoked,USA,Florida,Jensen Beach,Surfing,M,Minor injury to hand,N,UNKNOW,28.0
2016-10-01,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfng,M,Minor injuries,N,UNKNOW,32.0
2016-09-05,2016.0,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,Lacerations & punctures to lower right leg,N,UNKNOW,12.0
2016-09-01,2016.0,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,Two toes broken & lacerated,N,"WHITE SHARK, 8' TO 10'",22.0
2016-05-03,2016.0,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,Minor lacerations to right shoulder,N,UNKNOW,59.0
2016-01-11,2016.0,Unprovoked,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,Laceration to right foot,N,WOBBEGONG SHARK,28.0
2015-09-29,2015.0,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,M,"Laceration to heel, puncture wounds to dorsum of foot",N,"BLACKTIP SHARK, 5' TO 6'",22.0
2015-09-08,2015.0,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,Minor laceration to hand,N,6' SHARK,42.0
2015-06-23,2015.0,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Standing,M,Minor injury to calf,N,SMALL SHARK,9.0
2015-05-20,2015.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,2 puncture wounds to  dorsum of left foot,N,5' SHARK,18.0
2015-04-12,2015.0,Unprovoked,REUNION,Saint-Gilles-les-Bains,Cap Homard,Surfing,M,FATAL,Y,BULL SHARK,13.0
2015-03-11,2015.0,Watercraft,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,Bruised in falling overboard as shark bumped boat,N,UNKNOW,28.0
2015-02-09,2015.0,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,FATAL,Y,3.5 TO 4 M SHARK,41.0
2015-02-05,2015.0,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Bodysurfing,M,5 minor puncture wounds to lower left leg,N,1.8 M SHARK,28.0
2014-10-05,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Foot bitten,N,BLACKTIP SHARK,15.0
2014-08-05,2014.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,Lacerations to  foot,N,UNKNOW,45.0
2014-07-03,2014.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,Right hand bitten,N,4' TO 5' SHARK,19.0
2014-06-09,2014.0,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,M,"Abrasion to right hand, lacerations to left forearm",N,"SANDBAR SHARK, 3' TO 4'",16.0
2013-10-19,2013.0,Unprovoked,USA,Florida,Miami Beach,Wading,M,Bitten on left calf & foot,N,NURSE SHARK?,6.0
2013-08-17,2013.0,Unprovoked,USA,California,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,F,"No injury, shark bumped surfboard",N,WHITE SHARK,28.0
2013-08-08,2013.0,Unprovoked,SOUTH AFRICA,Unknow,Unknow,Attempting to free the shark,M,"Unknown, but survived",N,BLACKTIP SHARK,28.0
2013-07-28,2013.0,Unprovoked,BAHAMAS,Abaco Islands,Scotland Cay,Spearfishing,M,Leg bitten,N,6' SHARK,40.0
2013-06-25,2013.0,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,M,"Bitten on lower right leg, reported as a minor injury",N,4' TO 5' SHARK,14.0
2013-06-16,2013.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,M,Lacerations to knee,N,UNKNOW,28.0
2013-06-15,2013.0,Unprovoked,USA,Florida,"Atlantic Beach, Duval County",Surfing,F,Lacerations to left ankle,N,UNKNOW,28.0
2013-05-04,2013.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,Lacerations to left foot and ankle,N,A SMALL SHARK,16.0
2013-04-24,2013.0,Unprovoked,MEXICO,Quintana Roo,"Seagull Beach, Cancun",Swimming,F,Avulsion injury  to lower right leg,N,TIGER SHARK,34.0
2013-04-02,2013.0,Unprovoked,USA,Hawaii,Ka’anapali Shores,Surfing,M,Right thigh bitten,N,4' SHARK,58.0
2013-01-21,2013.0,Invalid,AUSTRALIA,Queensland,Bullcock Beach,Dragging stranded shark into deeper water,M,"No injury, a 3 m blue shark merely snapped at the man.",UNKNOWN,UNKNOW,62.0
2012-12-19,2012.0,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Surfing,M,No injury,N,"TIGER SHARK, 6'",32.0
2012-05-09,2012.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,Upper left thigh bitten,N,UNKNOW,47.0
2011-12-23,2011.0,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,Laceration to ankle,N,UNKNOW,27.0
2011-10-05,2011.0,Watercraft,REUNION,Unknow,Cap La Houssaye,Canoeing,M,No injury to occupant,N,2 TO 2.5 M SHARK,51.0
2011-09-24,2011.0,Unprovoked,USA,Florida,"Santa Maria Island, Manatee County",Spearfishing,M,Laceration to left thigh,N,"BULL SHARK, 6'",21.0
2011-07-15,2011.0,Watercraft,REUNION,Saint-Gilles,Brisants.,Kayaking or Wave skiing,M,No injury,N,UNKNOW,28.0
2011-07-13,2011.0,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Surf fishing,M,Lacerations to left foot,N,UNKNOW,28.0
2011-05-04,2011.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,Spearfishing,M,Calf bitten,N,UNKNOW,37.0
2011-01-26,2011.0,Unprovoked,BAHAMAS,West End,Tiger Beach,Scuba diving,M,Arm bitten,N,CARIBBEAN REEF SHARK,55.0
2010-08-07,2010.0,Unprovoked,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,M,Left foot bitten,N,UNKNOW,25.0
2010-07-25,2010.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Standing,M,Lacerations to right lower leg,N,4' SHARK,16.0
2010-05-18,2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,F,Severe lacerations to left foot,N,20 TO 30KG SHARK,60.0
2010-02-01,2010.0,Provoked,NEW ZEALAND,South Island,Oreti Beach,Boogie Boarding,F,Stepped on shark PROVOKED INCIDENT,N,1.5 M SHARK,14.0
2010-01-31,2010.0,Unprovoked,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",Surfing,M,Foot bitten,N,THOUGHT TO INVOLVE A JUVENILE HAMMERHEAD SHARK,29.0
2009-07-11,2009.0,Provoked,BAHAMAS,Unknow,Unknow,Spearfishing,M,Leg bitten by shark that had been shot in the head by another diver PROVOKED INCIDENT,N,"CARIBBEAN REEF SHARK, 6'",28.0
2009-06-02,2009.0,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,M,3 cm laceration to shoulder,N,OCEANIC WHITETIP SHARK,28.0
2009-04-21,2009.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,3 puncture wounds to posterior right ankle,N,UNKNOW,20.0
2008-09-15,2008.0,Provoked,AUSTRALIA,Northern Territory,Near Croker Island,Swimming,M,Right hand lacerated by netted shark PROVOKED INCIDENT,N,BRONZE WHALER SHARK,43.0
2008-08-27,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Lacerations to lower left leg,N,6' SHARK,26.0
2008-06-28,2008.0,Invalid,USA,Hawaii,"Kamilo Point, Hawai'i",Wading,M,Probable drowning with post-mortem bites,UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH NOT CONFIRMED,53.0
2008-06-02,2008.0,Watercraft,SCOTLAND,Easter Ross,Balintore Bay,Fishing,M,No injury to occupants; shark struck their boat,N,BASKING SHARK,28.0
2008-05-26,2008.0,Unprovoked,USA,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,M,Biceps & lower arm bitten,N,UNKNOW,9.0
2008-04-19,2008.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,Free-diving,M,"As he pushd the shark away from his camera, his finger was cut on a tooth",UNKNOWN,"TIGER SHARK, 13' FEMALE",28.0
2007-10-15,2007.0,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,F,small laceration to wrist,N,"WHITE SHARK, 2.5M",52.0
2007-07-22,2007.0,Unprovoked,USA,California,"Malibu, Los Angeles County",Surf paddling,M,"No injury, surfboard bumped by shark for 20 minutes",N,"WHITE SHARK, 12'",28.0
2007-07-17,2007.0,Unprovoked,USA,North Carolina,"Atlantic Beach, Carteret County",Wading,F,Lacerations to right thigh & left foot,N,5' SHARK,30.0
2007-05-17,2007.0,Provoked,ENGLAND,Kent,Folkestone,Fishing,M,Bitten on the nose by a hooked shark PROVOKED INCIDENT,N,"LESSER SPOTTED DOGFISH, SCYLIORHINUS CANICULA, LESS THAN 80 CM IN LENGTH",38.0
2007-03-05,2007.0,Provoked,NEW ZEALAND,Cook islans,Penhryn Island,Spearfishing,M,Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT,N,TIGER SHARK,16.0
2006-12-18,2006.0,Unprovoked,AUSTRALIA,Victoria,"Winki Pop, Bells Beach",Surfing,M,Left leg bitten,N,2.5 TO 3 M SHARK,25.0
2006-11-25,2006.0,Sea Disaster,PHILIPPINES,Surigao del Norte,"Off Bilisan Point, Hinatuarn Island",Sea Disaster,M,15 perished but shark involvement prior to death was not confirmed,Y,UNKNOW,28.0
2006-09-30,2006.0,Invalid,SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing,M,No injury; 4m white shark made a threat display,UNKNOWN,INVALID,36.0
2006-07-25,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor lacerations to right foot,N,UNKNOW,14.0
2006-02-12,2006.0,Unprovoked,AUSTRALIA,Queensland,"Point Vernon, Hervey Bay",Swimming,M,Puncture wound on arm,N,UNKNOW,28.0
2006-01-15,2006.0,Unprovoked,AUSTRALIA,Western Australia,"Off City Beach, Perth",Scuba diving,M,Lacerations to left elbow,N,3.5 M WHITE SHARK,52.0
2005-10-29,2005.0,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County",Wading,M,Puncture wounds to foot,N,2' TO 3' SHARK,15.0
2005-07-15,2005.0,Invalid,AUSTRALIA,Unknow,Unknow,Surfing,M,A hoax - No shark was involved and Wells' daughter was his business partner Eileen Purchase who injured her finger on his boat,UNKNOWN,NO SHARK INVOLVEMENT,28.0
2005-06-16,2005.0,Unprovoked,USA,Florida,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",Swimming,M,Foot bitten,N,"UNKNOWN, BUT IT WAS REPORTED THAT A SHARK TOOTH WAS RECOVERED FROM THE WOUND",20.0
2005-03-12,2005.0,Provoked,USA,New Mexico,"Albuquerue Aquarium, Albuquerue",Diving in aquarium display tank,M,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,"SANDTIGER SHARK, 2.1 M [7']",45.0
2005-03-10,2005.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Isipingo,Surfing,M,Bites by 2.5 m tiger shark were post mortem,UNKNOWN,INVALID,51.0
2004-05-01,2004.0,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,FATAL,Y,UNKNOW,22.0
2004-01-22,2004.0,Invalid,NEW ZEALAND,Northlands,90 Mile Beach,Boogie boarding,M,"No injury, swim fin damaged",UNKNOWN,SHARK INVOLVEMENT DOUBTFUL,28.0
2003-09-14,2003.0,Watercraft,SOUTH AFRICA,Western Cape Province,Melkbosstrand,Fishing,M,"No injury to occupants, shark bit boat",N,2 M COW SHARK,36.0
2003-09-13,2003.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Body boarding,M,Left calf avulsion,N,6' SHARK,18.0
2003-09-01,2003.0,Unprovoked,USA,Florida,"Boca Grande, Lee County",Wade-fishing,M,2 lacerations on each side of Achilles tendon,N,UNKNOW,28.0
2003-04-21,2003.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,Right leg bitten,N,UNIDENTIFIED SPECIES,36.0
2003-01-03,2003.0,Unprovoked,COSTA RICA,North Pacific coast,Playa Tamarindo,Surfing,M,Lower right leg lacerated,N,"BULL SHARK, 7'",28.0
2002-10-11,2002.0,Unprovoked,USA,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",Surfing,M,Left foot bitten,N,UNKNOW,21.0
2002-06-09,2002.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Swimming,M,Right calf lacerated,N,UNKNOW,10.0
2002-04-20,2002.0,Unprovoked,USA,Florida,"St. Augustine Beach, St. Johns County","Surfing, but standing in water alongside board",M,Left foot bitten,N,1.2 M [4'] SHARK,34.0
2002-03-25,2002.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Wading,F,Foot bitten,N,UNKNOW,11.0
2001-11-07,2001.0,Invalid,AUSTRALIA,Western Australia,"Leighton Beach, south of North Cottesloe",Surf-skiing,M,"No injury, fell off ski after possibly colliding with  a shark",UNKNOWN,UNKNOW,28.0
2001-08-29,2001.0,Unprovoked,USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County",Standing,F,Punctures & lacerations on elbow & forearm,N,UNKNOW,29.0
2001-07-26,2001.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Surfing,F,Survived,N,UNKNOW,28.0
2001-07-24,2001.0,Unprovoked,USA,Florida,"Marathon , Monroe County",Surfing,F,2 bites behind knee,N,NURSE SHARK,28.0
2000-08-30,2000.0,Unprovoked,USA,Florida,"Boca Ciega Bay, Tampa, Pinellas County",Jumped into the water,M,FATAL,Y,"THOUGHT TO INVOLVE A 2.7 M [9'], 400-LB BULL SHARK",69.0
2000-01-01,2000.0,Watercraft,USA,Florida,"Boca Grande, Lee County",Fishing for tarpon,M,No injury to occupant; shark bit propeller,N,HAMMERHEAD SHARK,28.0
1999-11-30,1999.0,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,Lacerations to hand & wrist,N,UNKNOW,19.0
1998-01-28,1998.0,Invalid,AUSTRALIA,New South Wales,Whale Beach,Spearfishing,M,"Missing, thought to have been taken by a shark",UNKNOWN,SHARK INVOLVEMENT NOT CONFIRMED,31.0
1997-10-28,1997.0,Unprovoked,USA,Hawaii,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island",Body boarding or surfing,M,"Both legs bitten, right leg severed at mid-calf & defense wounds on right hand",N,"TIGER SHARK, 4 M TO 4.3 M [13' TO 14']",19.0
1997-08-11,1997.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Floating on raft,F,Small lacerations on right lower leg,N,UNKNOW,12.0
1997-07-21,1997.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Breezy Point, Ntlonyana",Surfing,M,FATAL,Y,4.5 M WHITE SHARK,25.0
1996-08-11,1996.0,Unprovoked,USA,Florida,"Bayshore Garden, Sarasota Bay, Sarasota County",Wade fishing,M,"No injury, towed by shark that grabbed stringer of fish tied to his waist",N,1.8 M TO 2.1 M [6' TO 7'] HAMMERHEAD SHARK,21.0
1996-05-24,1996.0,Invalid,AUSTRALIA,New South Wales,"Wreck of paddle steamer, Koputai, 6 km off Bondi Beach",Tech diving,M,"FATAL, but shark involvement prior to death was not confirmed",Y,SHARK INVOLVEMENT PRIOR TO DEATH SUSPECTED BUT NOT CONFIRMED,45.0
1995-08-27,1995.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,Survived,N,UNKNOW,28.0
1995-08-26,1995.0,Unprovoked,USA,Florida,"Crescent Beach, St. Johns County",Surfing,M,Left elbow bitten,N,5' SHARK,16.0
1995-08-10,1995.0,Unprovoked,USA,South Carolina,"Ocean Lakes Campground, south of Myrtle Beach, Horry County",Riding waves on a board,F,Left foot bitten,N,BLACKTIP SHARK,14.0
1995-06-24,1995.0,Unprovoked,USA,California,"LaJolla Shores, San Diego County",Kayaking,F,Minor injuries,N,WHITE SHARK (TOOTH FRAGMENT RECOVERED),28.0
1993-01-05,1993.0,Unprovoked,AUSTRALIA,Queensland,"Line Reef, northeast of Hamilton Island, Whitsundays",Spearfishing,M,6 laceration to left forearm,N,1.5 M SHARK,21.0
1992-08-25,1992.0,Unprovoked,AUSTRALIA,South Australia,"Lipson Cove, Tumby Bay",Surfing,M,"Minor cuts, sufboard bitten",N,4 M WHITE SHARK,17.0
1992-07-08,1992.0,Unprovoked,BRAZIL,Maranhão,"Praia da Marcela, São Marcos Bay",Surfing,M,"Lower leg bitten, surgically amputated",N,UNKNOW,28.0
1992-02-14,1992.0,Unprovoked,JAPAN,Ehime Prefecture,Matsuyama,Diving for pen shells,M,"No injury, steel diving helmet bitten 3 times",N,5 M [16.5'] SHARK,28.0
1990-09-15,1990.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Oudekraal,Spearfishing,M,Right hand lacerated,N,5 M  [16.5'] WHITE SHARK,26.0
1990-07-08,1990.0,Unprovoked,USA,Florida,"Perdido Key near the Florida Panhandle, Escambia County",Surfing,M,Minor injury to left ankle & foot,N,UNKNOW,17.0
1990-06-23,1990.0,Unprovoked,BAHAMAS,Unknow,Bimini,Spearfishing,M,Left forearm bitten,N,1.2 M TO 1.5 M [4' TO 5'] SHARK,38.0
1989-08-29,1989.0,Provoked,AUSTRALIA,Queensland,SeaWorld Theme Park,Feeding fish,M,Left leg bitten by captive shark                   PROVOKED INCIDENT,N,GREY NURSE SHARK,30.0
1988-10-23,1988.0,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, just north of Cannon Beach, Clatsop County",Surfing (sitting on his board),M,Leg bitten & femur fractured,N,5.5 M TO 6 M [18' TO 20']  WHITE SHARK,21.0
1988-01-21,1988.0,Invalid,AUSTRALIA,Torres Strait,Unknow,Fell overboard  from the Taiwanese fishing trawler Lien Cheng Feu,M,His remains were recovered from a shark caught by  the trawler Ho Tai No.12 in March 1988,UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,28.0
1987-09-13,1987.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Still Bay,Surfing,M,Torso lacerated,N,3.5 M [11.5']  WHITE SHARK,24.0
1985-10-18,1985.0,Unprovoked,USA,Hawaii,"Little Glass Shacks, Princeville, Kaua'i",Body boarding,M,"Right hand and part of forearm severed , left hand lacerated, right anterior side of board removed by shark",N,"THOUGHT TO INVOLVE A TIGER SHARK,  3.7 M [12']",33.0
1985-01-01,1985.0,Unprovoked,NEW CALEDONIA,South Province,Amedee Island,Spearfishing,M,Legs bitten,N,TIGER SHARK,28.0
1983-03-30,1983.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Spearfishing,M,Right calf lacerated,N,1.8 M [6'] ZAMBEZI SHARK,17.0
1982-12-26,1982.0,Unprovoked,AUSTRALIA,New South Wales,Suffolk Park,Surfing,M,"No injury, surfboard bitten",N,"BRONZE WHALER, 2M",27.0
1982-02-13,1982.0,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,Shark-bitten body found floating 1.5 miles offshore. Bruises suggested she may have been bitten by the shark before drowning,Y,UNKNOW,75.0
1982-01-01,1982.0,Watercraft,ITALY,Tyrrhenian Sea,"Biodola, Isola d'Elba",Fishing on a boat,M,No injury,N,WHITE SHARK,28.0
1981-08-10,1981.0,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County","16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",F,FATAL,Y,UNKNOW,19.0
1981-02-19,1981.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Swimming,M,Foot lacerated,N,JUVENILE DUSKY OR BLACKTIP SHARK,30.0
1977-11-12,1977.0,Provoked,SOUTH AFRICA,Western Cape Province,Klein River Lagoon,Standing,M,Shark lacerated his hand when he grabbed it by the tail PROVOKED INCIDENT,N,1.5 TO 2 M [5' TO 6.75'] SHARK,28.0
1976-11-27,1976.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Clifton,Thrashing the water / imitating the shark victim from Jaws,M,Torso bitten,N,"WHITE SHARK, 3 M [10'] K",19.0
1976-03-02,1976.0,Watercraft,SOUTH AFRICA,Western Cape Province,"2 km from Macassar, False Bay",Surfing,M,"Shark leapt into boat, hitting Fanie Schoeman on his back before sliding into the sea",N,WHITE SHARK NAMED “SPOTTY”,28.0
1975-09-01,1975.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,Paddleskiing,M,Right foot & ankle lacerated,N,1.2 M [4'] SHARK,21.0
1975-06-23,1975.0,Unprovoked,USA,South Carolina,"Windy Hill, near Myrtle Beach, Horry County",Swimming,M,Lacerations to right foot,N,4' SHARK,18.0
1975-03-29,1975.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Tongaat,Swimming,M,Probable drowning / scavenging by a white shark,UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,28.0
1973-09-10,1973.0,Unprovoked,HONG KONG,Mirs Bay,Unknow,Freedom Swimming,M,FATAL,Y,UNKNOW,20.0
1973-02-27,1973.0,Unprovoked,MEXICO,Guerrero,"Revolcadero Beach, Acapulco",Swimming,M,"FATAL, multiple bites",Y,UNKNOW,57.0
1973-01-01,1973.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,M,"No injury, surboard flung into air & dented",N,UNKNOW,13.0
1972-12-26,1972.0,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,"Hip, leg, arm, hand & shoulder bitten",N,2 M TO 3 M SHARK,25.0
1972-08-08,1972.0,Unprovoked,AUSTRALIA,Tasmania,Tasman Island,Diving for abalone,M,Left foot bitten,N,"WHITE SHARK, 10'",45.0
1971-04-11,1971.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay,Swimming,M,"FATAL, multiple bites",Y,WHITE SHARK ACCORDING TO TOOTH PATTERN AND WITNESSES,50.0
1971-01-02,1971.0,Unprovoked,AUSTRALIA,Tasmania,Unknow,Swimming,M,Torso lacerated,N,UNKNOW,28.0
1970-10-01,1970.0,Unprovoked,USA,Florida,"Matanzas Inlet, St Johns County",Surfing,M,Bitten on right leg above the ankle,N,UNKNOW,28.0
1970-01-23,1970.0,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,Leg severed at knee,N,ZAMBESI SHARK,16.0
1970-01-01,1970.0,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Unknow,Freediving,M,Lacerations to back,N,UNKNOW,15.0
1969-10-14,1969.0,Unprovoked,USA,Hawaii,Hawaii,Diving,M,No injury,N,OCEANIC WHITETIP SHARK,28.0
